,iso_3,GEOID,counts
0,BFA,1027.0,12
1,BFA,3011.0,77
2,BFA,4014.0,101
3,BFA,4036.0,99
4,BFA,5001.0,109
5,BFA,5017.0,65
6,BFA,5023.0,394
7,BFA,6005.0,33
8,BFA,6022.0,125
9,BFA,6025.0,65
10,BFA,6044.0,71
11,BFA,7002.0,73
12,BFA,7016.0,192
13,BFA,7030.0,72
14,BFA,8008.0,38
15,BFA,8009.0,155
16,BFA,9010.0,143
17,BFA,9012.0,16
18,BFA,9042.0,131
19,BFA,10020.0,163
20,BFA,10029.0,576
21,BFA,10039.0,97
22,BFA,10045.0,94
23,BFA,11018.0,52
24,BFA,12024.0,200
25,BFA,12026.0,19
26,BFA,13003.0,72
27,BFA,13021.0,59
28,BFA,13033.0,100
29,BFA,13041.0,13
30,ETH,1001.0,128
31,ETH,1002.0,148
32,ETH,1004.0,324
33,ETH,2002.0,50
34,ETH,3003.0,1
35,ETH,3004.0,1
36,ETH,3005.0,669
37,ETH,4002.0,198
38,ETH,4003.0,1
39,ETH,4007.0,522
40,ETH,4011.0,292
41,ETH,7001.0,4
42,ETH,7002.0,249
43,ETH,7003.0,226
44,ETH,7006.0,200
45,GHA,6016.0,193
46,GHA,6017.0,166
47,GHA,7006.0,15
48,GHA,8002.0,21
49,GHA,8003.0,252
50,GHA,9001.0,56
51,GHA,9002.0,428
52,GHA,9003.0,198
53,GHA,9007.0,244
54,GHA,9009.0,266
55,GHA,10004.0,9
56,GHA,10008.0,75
57,KEN,2005.0,1
58,KEN,4017.0,163
59,KEN,4018.0,16
60,KEN,4019.0,51
61,KEN,4020.0,80
62,KEN,4025.0,324
63,KEN,4027.0,216
64,KEN,4028.0,114
65,KEN,6001.0,118
66,KEN,6002.0,17
67,KEN,6003.0,10
68,KEN,6004.0,30
69,KEN,6006.0,99
70,KEN,6007.0,42
71,KEN,6008.0,18
72,KEN,6009.0,66
73,KEN,6010.0,127
74,KEN,6011.0,136
75,KEN,6014.0,118
76,KEN,6017.0,21
77,KEN,6018.0,6
78,KEN,6020.0,82
79,KEN,7013.0,21
80,KEN,7014.0,51
81,KEN,7016.0,121
82,KEN,7025.0,4
83,KEN,7039.0,108
84,KEN,8001.0,10
85,KEN,8002.0,8
86,KEN,8005.0,9
87,KEN,8006.0,28
88,KEN,8007.0,58
89,KEN,8008.0,27
90,KEN,8009.0,71
91,KEN,8010.0,20
92,KEN,8011.0,67
93,KEN,8013.0,18
94,KEN,8014.0,18
95,KEN,8015.0,17
96,KEN,8016.0,129
97,KEN,8017.0,6
98,KEN,8018.0,15
99,KEN,888888.0,3
100,MLI,2003.0,8
101,MLI,2006.0,179
102,MLI,2007.0,10
103,MLI,3005.0,79
104,MLI,3007.0,200
105,MLI,4001.0,247
106,MLI,4007.0,700
107,NGA,1005.0,1
108,NGA,3015.0,15
109,NGA,3028.0,66
110,NGA,3031.0,50
111,NGA,4002.0,62
112,NGA,4005.0,66
113,NGA,5018.0,3
114,NGA,7005.0,62
115,NGA,7019.0,61
116,NGA,8003.0,2
117,NGA,10001.0,1
118,NGA,10019.0,120
